Timestamp,CPU Percentage,RAM Percentage,RAM Memory,GPU Memory,GPU Temperature
2024-05-29 20:55:41.566259,6.8,45.6,7792.013312,716,67
2024-05-29 20:55:46.832112,7.2,45.7,7794.573312,716,67
2024-05-29 20:55:52.077945,7.0,45.6,7796.400128,716,67
2024-05-29 20:55:57.332571,6.3,45.7,7795.900416,716,67
2024-05-29 20:56:02.582642,7.3,45.6,7791.8208,716,67
2024-05-29 20:56:07.829646,7.2,45.6,7793.278976,716,67
2024-05-29 20:56:13.083003,6.4,45.6,7791.833088,716,67
2024-05-29 20:56:18.346813,6.5,45.6,7793.037312,716,67
2024-05-29 20:56:23.608338,6.5,45.6,7792.799744,716,67
2024-05-29 20:56:28.877730,7.4,45.7,7795.298304,716,67
2024-05-29 20:56:34.099632,6.3,45.6,7792.029696,716,67
2024-05-29 20:56:39.332288,7.9,45.7,7795.372032,716,67
2024-05-29 20:56:44.568997,7.4,45.5,7774.871552,716,67
2024-05-29 20:56:49.820769,7.2,45.5,7774.736384,716,67
2024-05-29 20:56:55.050496,7.1,45.6,7778.46784,716,67
2024-05-29 20:57:00.300152,7.4,45.6,7778.656256,716,67
2024-05-29 20:57:05.553173,8.6,45.6,7791.968256,716,67
2024-05-29 20:57:10.800312,7.0,45.6,7784.890368,716,67
2024-05-29 20:57:16.051481,7.3,45.6,7785.668608,716,67
2024-05-29 20:57:21.313492,6.8,45.6,7783.694336,716,67
2024-05-29 20:57:26.567316,6.7,45.6,7790.329856,716,67
2024-05-29 20:57:31.817457,6.9,45.6,7789.52704,716,67
2024-05-29 20:57:37.075396,6.8,45.6,7787.925504,716,67
2024-05-29 20:57:42.333308,6.8,45.6,7786.090496,716,67
2024-05-29 20:57:47.599168,6.4,45.6,7788.331008,716,67
2024-05-29 20:57:52.846718,6.6,45.5,7774.613504,716,67
2024-05-29 20:57:58.082883,7.4,45.5,7776.874496,716,67
2024-05-29 20:58:03.347993,6.8,45.5,7775.141888,716,67
2024-05-29 20:58:08.595842,6.3,45.6,7778.553856,716,67
2024-05-29 20:58:13.835052,7.1,45.5,7775.4368,716,67
2024-05-29 20:58:19.080637,7.3,45.5,7774.326784,716,67
2024-05-29 20:58:24.328698,7.1,45.6,7781.679104,716,67
2024-05-29 20:58:29.582549,7.0,45.5,7775.690752,716,67
2024-05-29 20:58:34.834595,7.7,45.6,7778.69312,716,67
2024-05-29 20:58:40.097459,6.7,45.5,7775.911936,716,67
2024-05-29 20:58:45.362891,7.6,45.6,7779.065856,716,67
2024-05-29 20:58:50.627712,7.0,45.6,7778.729984,716,67
2024-05-29 20:58:55.865061,8.1,45.6,7786.938368,716,67
2024-05-29 20:59:01.120493,6.7,45.6,7778.553856,716,67
2024-05-29 20:59:06.379005,6.6,45.6,7780.667392,716,67
2024-05-29 20:59:11.642592,7.1,45.6,7778.541568,716,67
2024-05-29 20:59:16.909928,7.5,45.6,7780.360192,716,67
2024-05-29 20:59:22.140519,7.4,45.6,7778.791424,716,67
2024-05-29 20:59:27.394889,6.4,45.6,7781.02784,716,67
2024-05-29 20:59:32.644663,6.9,45.6,7780.143104,716,67
2024-05-29 20:59:37.878921,6.9,45.6,7780.61824,716,67
2024-05-29 20:59:43.114054,6.9,45.6,7778.844672,716,67
